,PredictorA,PredictorB,x
104,0.4754,0.2969,Class1
105,0.4992,0.3877,Class1
106,0.3988,0.25,Class1
107,0.1734,0.0897,Class1
108,0.2473,0.1255,Class1
109,0.2023,0.1582,Class1
110,0.084,0.1132,Class1
111,0.1741,0.1125,Class1
112,0.2226,0.161,Class1
113,0.3323,0.2799,Class1
114,0.2869,0.1995,Class1
115,0.2973,0.2486,Class1
116,0.3025,0.2309,Class1
117,0.3106,0.2228,Class1
118,0.3109,0.2621,Class1
119,0.2154,0.1989,Class1
120,0.365,0.289,Class1
121,0.239,0.1809,Class1
122,0.2568,0.2164,Class1
123,0.2961,0.2855,Class1
124,0.2399,0.221,Class1
125,0.3934,0.3645,Class1
126,0.3643,0.333,Class1
127,0.5249,0.4867,Class1
128,0.1334,0.3943,Class1
129,0.3999,0.3483,Class1
130,0.5484,0.4257,Class1
131,0.5364,0.3794,Class1
132,0.0991,0.3816,Class1
133,0.17,0.3488,Class1
134,0.2583,0.5002,Class1
135,0.2251,0.5304,Class1
136,0.0834,0.335,Class1
137,0.2362,0.4733,Class1
138,0.5033,0.7342,Class1
139,0.316,0.1739,Class1
140,0.2681,0.1791,Class1
141,0.2671,0.1546,Class1
142,0.1764,0.234,Class1
143,0.2807,0.2544,Class1
144,0.2778,0.2646,Class1
145,0.0904,0.0523,Class1
146,0.392,0.2534,Class1
147,0.2631,0.2509,Class1
148,0.1377,0.2128,Class1
149,0.3985,0.2891,Class1
150,0.1787,0.1796,Class1
151,0.1556,0.1748,Class1
152,0.152,0.2245,Class1
153,0.199,0.2295,Class1
154,0.0236,0.1239,Class1
155,0.0754,0.118,Class1
156,0.0367,0.0785,Class1
157,0.3263,0.3265,Class1
158,0.3037,0.2188,Class1
159,0.3431,0.3104,Class1
160,0.2484,0.2946,Class1
161,0.2601,0.2506,Class1
162,0.2621,0.2192,Class1
163,0.2087,0.2343,Class1
164,0.288,0.2472,Class1
165,0.375,0.3691,Class1
166,0.2984,0.2549,Class1
167,0.1335,0.137,Class1
168,0.1084,0.11,Class1
169,0.2575,0.2118,Class1
170,0.2389,0.2026,Class1
171,0.2325,0.2405,Class1
172,0.4507,0.6254,Class1
173,0.3035,0.3273,Class1
174,0.3161,0.3056,Class1
175,0.5239,0.4786,Class1
176,0.5044,0.4231,Class1
177,0.5632,0.4674,Class1
178,0.3108,0.2931,Class1
179,0.247,0.1734,Class1
180,0.3404,0.3078,Class1
181,0.5611,0.5222,Class1
182,0.4292,0.3412,Class1
183,0.4499,0.4229,Class1
184,0.5148,0.4025,Class1
185,0.5679,0.6675,Class1
186,0.5341,0.5245,Class1
187,0.3669,0.3504,Class1
188,0.2935,0.2936,Class1
189,0.3094,0.3003,Class1
190,0.2719,0.2361,Class1
191,0.2783,0.2476,Class1
192,0.2536,0.2128,Class1
193,0.2712,0.2481,Class1
194,0.2721,0.2198,Class1
195,0.3049,0.268,Class1
196,0.3134,0.2431,Class1
197,0.3484,0.2521,Class1
198,0.2648,0.2222,Class1
199,0.31,0.2652,Class1
200,0.2882,0.3171,Class1
201,0.3738,0.3468,Class1
202,0.3553,0.3188,Class1
203,0.3309,0.3941,Class1
204,0.2933,0.3108,Class1
205,0.3425,0.3085,Class1
206,0.2374,0.2716,Class1
207,0.2812,0.2898,Class1
208,0.2442,0.272,Class1
