ID,Cell,Case,Class,AngleCh1,AngleStatusCh1,AreaCh1,AreaStatusCh1,AvgIntenCh1,AvgIntenCh2,AvgIntenCh3,AvgIntenCh4,AvgIntenStatusCh1,AvgIntenStatusCh2,AvgIntenStatusCh3,AvgIntenStatusCh4,ConvexHullAreaRatioCh1,ConvexHullAreaRatioStatusCh1,ConvexHullPerimRatioCh1,ConvexHullPerimRatioStatusCh1,DiffIntenDensityCh1,DiffIntenDensityCh3,DiffIntenDensityCh4,DiffIntenDensityStatusCh1,DiffIntenDensityStatusCh3,DiffIntenDensityStatusCh4,EntropyIntenCh1,EntropyIntenCh3,EntropyIntenCh4,EntropyIntenStatusCh1,EntropyIntenStatusCh3,EntropyIntenStatusCh4,EqCircDiamCh1,EqCircDiamStatusCh1,EqEllipseLWRCh1,EqEllipseLWRStatusCh1,EqEllipseOblateVolCh1,EqEllipseOblateVolStatusCh1,EqEllipseProlateVolCh1,EqEllipseProlateVolStatusCh1,EqSphereAreaCh1,EqSphereAreaStatusCh1,EqSphereVolCh1,EqSphereVolStatusCh1,FiberAlign2Ch3,FiberAlign2Ch4,FiberAlign2StatusCh3,FiberAlign2StatusCh4,FiberLengthCh1,FiberLengthStatusCh1,FiberWidthCh1,FiberWidthStatusCh1,IntenCoocASMCh3,IntenCoocASMCh4,IntenCoocASMStatusCh3,IntenCoocASMStatusCh4,IntenCoocContrastCh3,IntenCoocContrastCh4,IntenCoocContrastStatusCh3,IntenCoocContrastStatusCh4,IntenCoocEntropyCh3,IntenCoocEntropyCh4,IntenCoocEntropyStatusCh3,IntenCoocEntropyStatusCh4,IntenCoocMaxCh3,IntenCoocMaxCh4,IntenCoocMaxStatusCh3,IntenCoocMaxStatusCh4,KurtIntenCh1,KurtIntenCh3,KurtIntenCh4,KurtIntenStatusCh1,KurtIntenStatusCh3,KurtIntenStatusCh4,LengthCh1,LengthStatusCh1,MemberAvgAvgIntenStatusCh2,MemberAvgTotalIntenStatusCh2,NeighborAvgDistCh1,NeighborAvgDistStatusCh1,NeighborMinDistCh1,NeighborMinDistStatusCh1,NeighborVarDistCh1,NeighborVarDistStatusCh1,PerimCh1,PerimStatusCh1,ShapeBFRCh1,ShapeBFRStatusCh1,ShapeLWRCh1,ShapeLWRStatusCh1,ShapeP2ACh1,ShapeP2AStatusCh1,SkewIntenCh1,SkewIntenCh3,SkewIntenCh4,SkewIntenStatusCh1,SkewIntenStatusCh3,SkewIntenStatusCh4,SpotFiberCountCh3,SpotFiberCountCh4,SpotFiberCountStatusCh3,SpotFiberCountStatusCh4,TotalIntenCh1,TotalIntenCh2,TotalIntenCh3,TotalIntenCh4,TotalIntenStatusCh1,TotalIntenStatusCh2,TotalIntenStatusCh3,TotalIntenStatusCh4,VarIntenCh1,VarIntenCh3,VarIntenCh4,VarIntenStatusCh1,VarIntenStatusCh3,VarIntenStatusCh4,WidthCh1,WidthStatusCh1,XCentroid,YCentroid
11,207827711,Test,WS,13.6666708189,2,424,0,174.3555555556,388.4271604938,38.762962963,126.7283950617,1,1,0,0,1.0384615385,0,0.9725156023,0,67.2513089005,27.1884816754,84.1413612565,0,0,0,7.3831210931,5.2471667583,5.9978396989,1,0,0,23.2488639529,0,1.465172033,0,806.9532878236,0,550.7566822342,0,1698.0612244898,0,6579.6657319764,0,0.5247012129,0.5399234983,0,0,20.2490835119,0,20.2490835119,1,0.0953916881,0.0936004207,0,0,4.3029366412,3.9414350821,0,2,5.5187098241,5.550418603,0,0,0.3007915567,0.3007915567,0,0,-0.625392634,-0.3583501768,-0.531553952,0,0,0,28.284360197,0,0,0,334.728366993,1,28.6666666667,0,130.4604378617,0,80.9963340477,0,0.7574574124,1,1.4274390875,0,1.1972549112,0,-0.5691382092,0.7653620387,0.8186378439,2,0,0,1,4,0,0,70614,157313,15699,51325,1,1,0,0,67.8440259113,40.9297273247,139.8750599771,0,0,0,19.8147580824,0,473,15
12,207932484,Train,WS,109.41642634,0,256,0,18.8285714286,125.9387755102,13.6,46.8,0,0,0,0,1.081871345,0,0.9204595197,0,28.0200445434,14.8708240535,32.6971046771,2,2,2,5.3832721793,4.1511827286,6.1940345737,2,0,0,18.0824497411,0,1.378747851,0,368.3096528622,0,267.1334374814,0,1027.2222222222,0,3095.78236772,0,0.3642359883,0.4808685692,0,0,22.2974337812,0,12.0578760998,0,0.1081612981,0.0099518295,0,0,6.1605845934,10.5906853991,0,0,5.0440668296,7.1268999276,0,0,0.3153153153,0.0585585586,0,0,-0.364691438,1.0833328594,-0.6262703757,0,0,0,23.0554683732,0,0,0,263.6345129977,0,38.4303784906,0,88.5041055483,2,68.710619762,0,0.6347913854,0,1.3139368973,0,1.3973641415,0,0.5467372162,1.4323631749,0.7038006535,0,0,0,0,5,2,0,4613,30855,3332,11466,0,0,0,0,13.9229365891,18.6430268192,40.3317467502,0,0,2,17.546861208,0,211,495
13,207827674,Test,PS,52.2054470019,2,236,0,18.1902654867,5.3274336283,17.0884955752,1.9115044248,0,2,0,2,1.2926577042,1,0.8013622212,2,28.5204081633,16.9132653061,5.9183673469,2,0,2,5.2933906311,4.9937784876,2.4236978077,2,0,2,17.367145552,0,3.3783193152,1,510.7807920913,0,151.1937577337,0,947.5600907029,0,2742.7356690823,0,0,0,2,2,43.6427572508,0,5.8062085718,2,0.0054759657,0.1034880642,0,0,38.7715625,11.704375,1,1,7.7392647706,4.5123667375,1,2,0.0208333333,0.295,2,0,-0.0012360134,-0.098206892,0.2876580569,0,0,0,34.7554255167,0,0,0,204.2606730814,0,29.3174431296,0,78.3122908143,2,98.8979316452,0,0.5453330654,2,2.7807393448,1,3.0715470135,1,0.6311694455,0.1860353843,1.2101592426,0,2,0,0,6,2,0,4111,1204,3862,432,0,2,0,2,12.2692540729,9.3624721814,2.5781845919,0,2,2,12.4986275977,2,347,252
14,207932302,Test,PS,92.9014641559,0,187,0,40.2402234637,213.1899441341,44.1955307263,136.251396648,0,0,0,0,1.0352303523,0,0.979602852,0,32.1158536585,25.6097560976,90.2743902439,0,0,0,5.9293356971,6.0553026324,6.8216407772,0,0,0,15.4561292204,0,1.5354894688,0,242.7305936022,0,158.0802724718,0,750.5011337868,0,1933.3070839728,0,0.6259856326,0.7327459167,1,1,13.7078750893,0,13.7078750893,0,0.0095456511,0.0086441453,0,0,16.4210956968,16.4709153122,1,1,7.2366058046,7.1424515651,0,0,0.0658682635,0.0359281437,0,0,-0.9306844321,-0.5885720086,6.7741212643,0,0,1,18.7158891581,0,0,0,190.9552659783,2,23.9010739899,0,75.4431218653,2,54.8315003572,0,0.7968360115,1,1.4876423065,0,1.2371236831,0,-0.0828397435,0.0864155915,2.0018819618,0,2,1,2,4,0,0,7203,38161,7911,24389,0,0,0,0,21.2451335724,23.8620519219,101.3952850917,0,0,0,12.580906765,2,229,277
15,207932459,Train,PS,104.2786539716,0,258,0,17.5708502024,124.3684210526,22.4615384615,71.2064777328,0,0,0,0,1.0757281553,0,0.9313001859,0,27.8761061947,16.1194690265,36.185840708,2,0,0,5.1842776098,5.4862246379,6.624639016,2,0,0,18.1561056458,0,1.6160528883,0,403.6405276156,0,249.7693797868,0,1035.6077097506,0,3133.7671643075,0,0.3594184121,0.2443078076,0,0,26.5285566331,0,10.1742391624,0,0.0130348807,0.0089629905,0,0,9.4020564042,10.3015276146,0,0,6.957487102,7.1447837878,0,0,0.0739130435,0.0347826087,0,0,-0.5562612315,-0.5123186064,-0.6471575267,0,0,0,26.3196038368,0,0,0,231.1529454366,0,29.8489204141,0,103.4581205485,0,73.405591591,0,0.5570021982,2,1.490322717,0,1.5886575276,0,0.4430923841,0.5556754942,0.1372252448,0,0,0,1,4,0,0,4340,30719,5548,17588,0,0,0,0,12.3249705589,17.747142624,41.9285332603,0,0,2,17.6603386215,0,172,207
16,207827779,Train,PS,77.9919429316,0,358,0,42.283625731,217.1315789474,42.3216374269,67.5409356725,0,0,0,0,1.0378301213,0,0.9612697921,0,43.309375,43.365625,56.04375,0,0,0,6.136582657,5.8700269479,5.9956993409,0,0,0,21.3642316105,0,1.4682102436,0,626.8373044923,0,426.9397432723,0,1433.9183673469,0,5105.7606850915,0,0.4789638053,0.4665768557,0,0,25.1269583288,0,14.6108860868,0,0.0249826387,0.0442250988,0,0,11.8410769411,8.0847758978,0,0,6.794863681,6.3616350582,0,0,0.1401273885,0.1993865031,0,0,-0.261787171,0.8095014258,0.728679348,0,0,0,27.804208446,0,0,0,213.9487107421,0,11.4465384562,2,105.1505919759,0,79.4756888313,0,0.6635424294,0,1.4309528816,0,1.3691142466,0,0.2565182831,1.0710939858,1.0454462052,0,0,0,1,5,0,0,14461,74259,14474,23099,0,0,0,0,20.9564773378,42.3163600413,66.9657092773,0,0,0,19.4305548441,0,276,385
17,207827784,Train,PS,13.6599724743,2,158,0,31.4105960265,102.2119205298,41.4900662252,116.119205298,0,0,0,0,1.3793103448,1,0.8960386907,0,38.4503816794,37.6488549618,74.9236641221,0,0,0,5.7562609088,5.8143474321,6.1213774845,2,0,0,14.1958923758,2,1.477693688,0,184.4926973577,0,124.8517868481,0,633.10430839,0,1497.9134374297,0,0.7245098826,0.5972045825,1,1,27.6324863792,0,6.0503298654,2,0.0123197175,0.0208874823,0,0,11.9135780886,6.1548951049,0,0,6.7969199869,6.4854651862,0,0,0.0681818182,0.1136363636,0,0,-0.3659080614,-0.2788246687,-0.7073985363,0,0,0,20.5669112741,0,0,0,228.9701265639,0,17.4047619048,0,112.5612255959,0,67.3656324893,0,0.4423808071,2,1.182276747,0,2.1600575798,0,0.4180794728,0.8813348094,0.7258838969,0,0,0,4,4,1,0,4743,15434,6265,17534,0,2,0,0,20.5858794024,40.6530901947,109.6436085207,0,0,0,17.3960211309,0,239,404
18,207827790,Test,WS,23.0710659327,2,313,0,215.4113712375,568.9130434783,150.652173913,378.6120401338,1,1,1,1,1.040257649,0,0.9576617568,0,73.8741007194,78.3201438849,191.5539568345,1,1,1,7.4688588448,6.8135201808,7.5401351351,1,1,1,19.9760593041,0,1.7624580113,0,561.4197965693,0,318.5436435771,0,1253.6303854875,0,4173.7658209876,0,0.4876283611,0.4617693105,0,0,18.6808464246,0,17.4222156372,1,0.0220572697,0.0103501576,0,0,4.8184212229,5.8706567454,0,0,6.5464522057,7.0879699226,0,0,0.1272727273,0.0545454545,0,0,-0.3708639905,-0.4209479529,-0.4443303615,0,0,0,26.6182222369,0,0,0,314.1310511533,1,22.7322605329,0,126.5223272669,0,72.2061241235,0,0.7609989441,1,1.7204126565,0,1.2747813314,0,0.2755034815,0.7700326811,0.6839945549,0,0,0,1,2,0,0,64408,170105,45045,113205,1,1,1,1,100.0755634464,138.203909093,304.3387865172,1,1,1,15.4719986142,0,466,449
19,207827645,Train,WS,106.8443693254,0,315,0,294.7674418605,491.7342192691,193.4352159468,400.4518272425,1,1,1,1,1.014516129,0,0.9775437172,0,154.5780141844,100.3156028369,237.4078014184,1,1,1,7.4026349512,6.7610250733,7.5609416197,1,1,1,20.0427575174,0,1.0166470554,0,430.6816788874,0,423.6294952242,0,1262.0158730159,0,4215.7130209973,0,0.2735831559,0.0189748876,0,2,16.7535791505,0,16.7535791505,1,0.0331566571,0.0094908455,0,0,5.6968085106,8.225177305,0,0,6.3901471738,7.1618424523,0,0,0.1631205674,0.0460992908,0,0,38.9742849797,-1.1902491782,-1.332875189,1,0,0,21.2878357462,0,0,0,288.1973438121,0,49.9258066314,1,119.6399868835,0,67.0143166018,0,0.7161740289,0,1.0286716314,0,1.0998228149,0,5.2742164898,0.1771265876,0.2239078285,1,2,0,2,2,0,0,88725,148012,58224,120536,1,1,1,1,201.3686865182,152.3121029335,305.5828293926,1,1,1,20.6944909303,0,95,95
20,207932306,Test,PS,93.5911403733,0,762,1,35.6409903714,163.719394773,77.522696011,213.1100412655,0,0,0,0,1.2026622296,0,0.8487131667,2,35.0058351568,54.4106491612,121.6710430343,0,0,0,6.2492039483,7.0275657033,7.2407870032,0,1,0,31.148807868,1,1.8715803872,0,2193.4483352182,1,1171.9765553523,1,3048.1247165533,1,15824.2418589571,1,0.4549631516,0.4150372579,0,0,55.0398262032,1,14.3069072439,0,0.0138805293,0.038698122,0,0,7.7767307643,3.7893874971,0,2,7.0962116094,6.2333195146,0,0,0.0833333333,0.1790393013,0,0,0.2306962873,5.1930867358,2.7868189908,0,1,0,43.9373655061,1,0,0,213.4730779009,0,46.9726665828,1,127.9281337946,0,138.6934668942,1,0.6034935431,0,1.5288606842,0,1.9439126935,0,0.6689347737,1.936145921,1.6299374697,0,1,1,2,12,0,1,25911,119024,56359,154931,0,1,1,1,21.1987807676,81.7583867503,245.1220429734,0,0,1,28.7386326032,1,77,344
21,208312429,Test,PS,33.4584719744,2,157,0,114.24,36.86,268.56,189.1466666667,0,0,1,0,1.1383647799,0,0.8748491714,0,85.9433962264,202.320754717,97.9132075472,0,1,0,6.7286883571,6.9420216904,4.8616457578,0,0,0,14.148808026,2,1.2149656558,0,165.6305484051,0,136.3252925007,0,628.9115646259,0,1483.0581655338,0,0.0692839509,0.2264769469,2,0,22.2068123996,0,7.5049746729,0,0.0085401904,0.1108716244,0,0,13.6256410256,2.8729344729,0,0,7.0848202076,5.0283445662,0,0,0.0230769231,0.3259259259,2,0,0.1923961507,0.9291137094,-1.4207979649,0,0,0,18.1671477022,2,0,0,223.0453764118,0,30.7824640129,0,95.1919721778,0,59.4235741451,0,0.5651003722,0,1.1862316249,0,1.6860468855,0,0.8480154134,0.96814451,0.3945961188,0,0,0,2,2,0,0,17136,5529,40284,28372,0,2,0,0,81.9066688372,196.3067830378,195.6187239391,0,1,0,15.315008739,0,327,16
22,208314602,Test,PS,80.5548274097,0,1060,1,59.3053359684,38.7075098814,29.9347826087,22.5909090909,0,0,0,0,1.0737605804,0,0.9190588138,0,48.8127572016,30.7119341564,23.7273662551,0,0,0,6.7719358263,6.0244496632,5.452416249,0,0,0,36.7506039659,1,1.1676442093,0,2845.4278905604,1,2436.896331941,1,4243.0566893424,1,25989.1493324571,1,0.2512414807,0.0041330012,0,2,41.9364321934,0,25.8382070167,1,0.0064564564,0.0233887727,0,0,23.0464237517,13.1522711757,1,1,7.8598743705,6.8338470736,1,0,0.0451282051,0.1300309598,2,0,-0.196866509,-0.0081274678,0.5175606614,0,0,0,40.5633400325,0,0,0,288.2387717211,1,38.252680608,0,121.30610237,0,135.5492784201,0,0.7469200953,1,1.15857117,0,1.3493609249,0,0.6546680761,0.6798607974,1.1305439996,0,0,0,7,25,1,1,60017,39172,30294,22862,1,0,0,0,47.8888354882,23.3152839584,24.7728940778,0,0,0,35.0115220207,1,22,50
